nombre,lenguaje,estrellas,forks,watchers,fecha_creacion,fecha_actualizacion
awesome-machine-learning,Python,71877,15333,71877,2014-07-15T19:11:19Z,2026-03-06T21:24:26Z
openai-cookbook,Jupyter Notebook,71869,12080,71869,2022-03-11T02:08:53Z,2026-03-06T22:43:18Z
cpython,Python,71868,34191,71868,2017-02-10T19:23:51Z,2026-03-06T21:57:55Z
screenshot-to-code,TypeScript,71808,8860,71808,2023-11-14T17:53:32Z,2026-03-06T22:16:18Z
imgui,C++,71759,11598,71759,2014-07-21T14:29:47Z,2026-03-06T21:58:34Z
PaddleOCR,Python,71699,9906,71699,2020-05-08T10:38:16Z,2026-03-06T22:33:26Z
cs-self-learning,HTML,71634,7847,71634,2021-10-20T13:43:42Z,2026-03-06T21:16:30Z
moby,Go,71487,18914,71487,2013-01-18T18:10:57Z,2026-03-06T19:22:27Z
strapi,TypeScript,71485,9528,71485,2015-09-30T15:34:48Z,2026-03-06T22:24:50Z
flask,Python,71333,16742,71333,2010-04-06T11:11:59Z,2026-03-06T19:57:42Z
Prompt-Engineering-Guide,MDX,71203,7587,71203,2022-12-16T16:04:50Z,2026-03-06T21:06:26Z
superset,TypeScript,70831,16765,70831,2015-07-21T18:55:34Z,2026-03-06T22:29:45Z
protobuf,C++,70807,16051,70807,2014-08-26T15:52:15Z,2026-03-06T21:41:40Z
obs-studio,C,70751,9057,70751,2013-10-01T02:40:31Z,2026-03-06T22:41:06Z
reveal.js,JavaScript,70674,16803,70674,2011-06-07T18:54:22Z,2026-03-06T20:42:17Z
caddy,Go,70628,4659,70628,2015-01-13T19:45:03Z,2026-03-06T22:52:15Z
gpt_academic,Python,70174,8402,70174,2023-03-20T09:05:13Z,2026-03-06T18:42:29Z
awesome-cpp,Desconocido,70055,8242,70055,2014-07-17T08:51:11Z,2026-03-06T22:30:41Z
swift,C++,69853,10675,69853,2015-10-23T21:15:07Z,2026-03-06T22:38:41Z
tabby,TypeScript,69333,3892,69333,2016-12-23T09:06:10Z,2026-03-06T19:08:02Z
SecLists,PHP,69283,24915,69283,2012-02-19T01:30:18Z,2026-03-06T22:51:18Z
act,Go,69176,1871,69176,2019-01-02T19:53:43Z,2026-03-06T20:06:51Z
awesome-scalability,Desconocido,69073,6855,69073,2017-12-27T03:46:40Z,2026-03-06T22:52:21Z
express,JavaScript,68868,22734,68868,2009-06-26T18:56:01Z,2026-03-06T20:24:31Z
node,Go,68708,3215,68708,2023-02-01T13:55:02Z,2026-03-06T16:26:08Z
OpenHands,Python,68676,8574,68676,2024-03-13T03:33:31Z,2026-03-06T22:29:28Z
AppFlowy,Dart,68424,4924,68424,2021-06-16T12:56:48Z,2026-03-06T22:13:28Z
ansible,Python,68219,24177,68219,2012-03-06T14:58:02Z,2026-03-06T22:23:09Z
LlamaFactory,Python,67980,8291,67980,2023-05-28T10:09:12Z,2026-03-06T21:32:02Z
Chart.js,JavaScript,67223,11988,67223,2013-03-17T23:56:36Z,2026-03-06T19:29:25Z
awesome-courses,Desconocido,66868,8335,66868,2014-11-15T18:36:49Z,2026-03-06T22:30:51Z
anime,JavaScript,66752,4464,66752,2016-03-13T21:37:45Z,2026-03-06T21:28:53Z
33-js-concepts,JavaScript,66263,9183,66263,2018-09-04T13:27:04Z,2026-03-06T16:44:09Z
webpack,JavaScript,66024,9304,66024,2012-03-10T10:08:14Z,2026-03-06T22:25:41Z
annotated_deep_learning_paper_implementations,Python,65871,6618,65871,2020-08-25T02:29:34Z,2026-03-06T20:58:50Z
echarts,TypeScript,65854,19831,65854,2013-04-03T03:18:59Z,2026-03-06T21:07:17Z
gpt4free,Python,65723,13661,65723,2023-03-29T17:00:43Z,2026-03-06T19:45:28Z
ChinaTextbook,Roff,65600,14621,65600,2020-01-05T04:11:06Z,2026-03-06T19:13:30Z
ghidra,Java,65435,7218,65435,2019-03-01T03:27:48Z,2026-03-06T22:26:34Z
scikit-learn,Python,65317,26748,65317,2010-08-17T09:43:38Z,2026-03-06T22:01:12Z
javascript-questions,Desconocido,65299,9236,65299,2019-06-12T08:26:27Z,2026-03-06T18:00:00Z
awesome-nodejs,Desconocido,65189,6182,65189,2014-07-11T13:35:34Z,2026-03-06T22:30:55Z
Java,Java,65164,21013,65164,2016-07-16T10:21:02Z,2026-03-06T20:34:43Z
interviews,Java,64974,12931,64974,2017-02-14T18:19:25Z,2026-03-06T19:47:47Z
design-resources-for-developers,Desconocido,64962,11990,64962,2020-05-06T14:40:35Z,2026-03-06T22:18:04Z
nocode,Dockerfile,64937,4809,64937,2018-02-06T23:54:00Z,2026-03-06T21:18:44Z
MetaGPT,Python,64825,8157,64825,2023-06-30T09:04:55Z,2026-03-06T21:02:21Z
